Station,Element,Model,Resource,Waktu
1,2,X,H,0
1,2,Y,H,3
1,2,Z,H,0
1,3,X,H,0
1,3,Y,H,0
1,3,Z,H,2
1,1,X,R,2.5
1,1,Y,R,2.5
1,1,Z,R,3.75
1,9,X,H,0
1,9,Y,H,0
1,9,Z,H,1
1,7,X,R,0
1,7,Y,R,0
1,7,Z,R,1.25
2,8,X,H,0
2,8,Y,H,5
2,8,Z,H,0
2,14,X,H,0
2,14,Y,H,0
2,14,Z,H,2
2,10,X,H,0
2,10,Y,H,0
2,10,Z,H,3
2,4,X,H,2
2,4,Y,H,0
2,4,Z,H,0
2,5,X,R,1.25
2,5,Y,R,2.5
2,5,Z,R,1.25
2,11,X,HRC,3.35
2,11,Y,HRC,0
2,11,Z,HRC,0
3,12,X,H,2
3,12,Y,H,0
3,12,Z,H,0
3,6,X,H,1
3,6,Y,H,2
3,6,Z,H,1
3,15,X,H,0
3,15,Y,H,0
3,15,Z,H,4
3,13,X,H,3
3,13,Y,H,1
3,13,Z,H,1
4,16,X,R,3.75
4,16,Y,R,1.25
4,16,Z,R,1.25
4,17,X,H,2
4,17,Y,H,1
4,17,Z,H,1
